6A	37	G6A	10000	11110000	100	1
6B	37	G6B	10000	11110000	100	1
6C	37	G6C	10000	11110000	100	1
6E	37	G6E	10000	11110000	100	1
6J	37	G6J	10000	11110000	100	1
6S	37	G6S	10000	11110000	100	1
CCC	37	CCC	100	11110000	100	1
CFYG	96	XK	1	11110000	100	1
CFYI	96	XY	0.01	11110000	100	1
CFZG	96	ZG	1	11110000	100	1
E7	37	E7	10000	11110000	100	1
EFTMI	96	TMI	1	11110000	100	1
EFYM	96	YM	1	11110000	100	1
EMD	37	EMD	100	11110000	100	1
ER2	37	ER2	100	11110000	100	1
ES	37	ES	100	11110000	100	1
FDAX	30	GX	1	11110000	100	1
FEU3	30	EEI	1	11110000	100	1
FFGBL	96	GBL	1	11110000	100	1
FFGBM	96	GBM	1	11110000	100	1
FFGBS	96	GBS	1	11110000	100	1
FFYH	96	XB	1	11110000	100	1
FFZB	96	ZB	1	11110000	100	1
FFZF	96	ZF	1	11110000	100	1
FFZN	96	ZN	1	11110000	100	1
FFZQ	96	ZQ	1	11110000	100	1
FFZT	96	ZT	1	11110000	100	1
FFZU	96	AM	1	11110000	100	1
FGBL	30	EBI	1	11110000	100	1
FGBM	30	EBM	1	11110000	100	1
FGBS	30	EBS	1	11110000	100	1
GE	37	GE	100	11110000	100	1
J7	37	J7	10000	11110000	100	1
LFI	41	FEI	1	11110000	100	1
LFL	41	SR	1	11110000	100	1
LFN	41	FB	1	11110000	100	1
LFZ	41	ZX	1	11110000	100	1
LR	41	LL	1	11110000	100	1
MLT	37	MLT	100	11110000	100	1
NQ	37	NQ	100	11110000	100	1
OOO	37	OOO	100	11110000	100	1
TTT	37	TTT	100	11110000	100	1
XFC	41	LCC	1	11110000	100	1
XFD	41	LCF	1	11110000	100	1
XFT	41	LWH	1	11110000	100	1
XFW	41	LSU	1	11110000	100	1
