!	!	1	#.00	11110000	110	1	!
QI	QI	10	###.0	11110000	110	1		QI
QM	QM	1	##.000	11110000	110	1		QM
QO	QO	1	###.00	11110000	110	1		QO
QU	QU	1	#.0000	11110000	110	1		QU
RB	RB3	1	#.0000	11110000	110	1		RB
SI	SI3	100	###.000	11110000	110	1		SI
TF	TF	1	###.00	11110000	110	1		TF
USD/CAD	$USD-CAD@PFG	1	##.00000	11110000	110	1		USD/CAD
USD/CHF	$USD-CHF@PFG	1	##.00000	11110000	110	1		USD/CHF
USD/JPY	$USD-JPY@PFG	1	##.000	11110000	110	1		USD/JPY
XC	XC3	8	###.0	11100000	110	1		YC
XK	XS3	8	###.0	11100000	110	1		YK
YM	YM	1	#####	11100000	110	1		YM
YG	XK	1	###.0	11100000	110	1		YG
YI	XY	100	##.000	11100000	110	1		YI
XW	XW3	8	###.0	11100000	110	1		YW
ZB	ZB	32.5	###.000	11100000	110	1		ZB
ZC	ZC	8	###.0	11100000	110	1		ZC
ZD	ZD	1	#####.	11100000	110	1		ZD
ZF	ZF	32.25	###.000	11100000	110	1		ZF
ZG	ZG	1	###.0	11100000	110	1		ZG
ZI	ZI	1	###.000	11100000	110	1		ZI
ZL	ZL	1	##.00	11100000	110	1		ZL
ZM	ZM	1	###.0	11100000	110	1		SM
ZN	ZN	32.25	###.000	11100000	110	1		ZN
ZO	ZO	8	###.0	11100000	110	1		ZO
ZQ	ZQ	1	##.000	11100000	110	1		ZQ
ZR	ZR	1	###.0	11100000	110	1		ZR
ZS	ZS	8	###.0	11100000	110	1		ZS
ZT	ZT	32.25	###.000	11100000	110	1		ZT
ZU	ZU	32	##.00	11100000	110	1		ZU
ZW	ZW	8	###.0	11100000	110	1		ZW
