6E	G6E	CME	0.0001	11110000	111	1
ER2	ER2	CME	0.01	11110000	111	1
ES	ES	CME	0.01	11110000	111	1
FDAX	GX	Eurex	1	11110000	111	1
FESX	EX	Eurex	1	11110000	111	1
FGBL	EBI	Eurex	1	11110000	111	1
I	EEI	Eurex	1	11110000	111	1
NQ	NQ	CME	0.01	11110000	111	1
YM	YM	eCBOT	1	11110000	111	1
Z	ZX	LIFFE	1	11110000	111	1
ZB	ZB	eCBOT	1	11110000	111	1
ZF	ZF	eCBOT	1	11110000	111	1
ZN	ZN	eCBOT	1	11110000	111	1
ZT	ZT	eCBOT	1	11110000	111	1
